ds,y
2015-12-19 01:00:00,42385284887.0
2015-12-19 01:30:00,39778611918.0
2015-12-19 02:00:00,38895676281.0
2015-12-19 02:30:00,38250596571.0
2015-12-19 03:00:00,37725900807.0
2015-12-19 03:30:00,36174840888.0
2015-12-19 04:00:00,35041547740.0
2015-12-19 04:30:00,34063972977.0
2015-12-19 05:00:00,33656192545.0
2015-12-19 05:30:00,33386606661.0
2015-12-19 06:00:00,33962377049.0
2015-12-19 06:30:00,34293459773.0
2015-12-19 07:00:00,35450887849.0
2015-12-19 07:30:00,36115117194.0
2015-12-19 08:00:00,37364406299.0
2015-12-19 08:30:00,38431668884.0
2015-12-19 09:00:00,39398403995.0
2015-12-19 09:30:00,40045457200.0
2015-12-19 10:00:00,40903157645.0
2015-12-19 10:30:00,41411545600.0
2015-12-19 11:00:00,41564111174.0
2015-12-19 11:30:00,41367986211.0
2015-12-19 12:00:00,41454382293.0
2015-12-19 12:30:00,41574456616.0
2015-12-19 13:00:00,42125744330.0
2015-12-19 13:30:00,42854171008.0
2015-12-19 14:00:00,41567540250.0
2015-12-19 14:30:00,40081445309.0
2015-12-19 15:00:00,39364229676.0
2015-12-19 15:30:00,38144255300.0
2015-12-19 16:00:00,37523133967.0
2015-12-19 16:30:00,37016850783.0
2015-12-19 17:00:00,36930169109.0
2015-12-19 17:30:00,37561701241.0
2015-12-19 18:00:00,39582391000.0
2015-12-19 18:30:00,41743476013.0
2015-12-19 19:00:00,42939268173.0
2015-12-19 19:30:00,43849818345.0
2015-12-19 20:00:00,44102026488.0
2015-12-19 20:30:00,43342054271.0
2015-12-19 21:00:00,42303883433.0
2015-12-19 21:30:00,41112057725.0
2015-12-19 22:00:00,40142366441.0
2015-12-19 22:30:00,39333271869.0
2015-12-19 23:00:00,39663609968.0
2015-12-19 23:30:00,42255152974.0
2015-12-20 00:00:00,42419232960.0
2015-12-20 00:30:00,42706279874.0
2015-12-20 01:00:00,41663074177.0
2015-12-20 01:30:00,39174180701.0
2015-12-20 02:00:00,38305202484.0
2015-12-20 02:30:00,37607482736.0
2015-12-20 03:00:00,37003730326.0
2015-12-20 03:30:00,35336536447.0
2015-12-20 04:00:00,34036381857.0
2015-12-20 04:30:00,32890701992.0
2015-12-20 05:00:00,32295346675.0
2015-12-20 05:30:00,31852122504.0
2015-12-20 06:00:00,32145032091.0
2015-12-20 06:30:00,32178553113.0
2015-12-20 07:00:00,32900304290.0
2015-12-20 07:30:00,33149288204.0
2015-12-20 08:00:00,33902968144.0
2015-12-20 08:30:00,34560441668.0
2015-12-20 09:00:00,35249918069.0
2015-12-20 09:30:00,35819494301.0
2015-12-20 10:00:00,36891731664.0
2015-12-20 10:30:00,37993040942.0
2015-12-20 11:00:00,38907718181.0
2015-12-20 11:30:00,39411732039.0
2015-12-20 12:00:00,39910060723.0
2015-12-20 12:30:00,40468189875.0
2015-12-20 13:00:00,41409841036.0
2015-12-20 13:30:00,42269287105.0
2015-12-20 14:00:00,40914434407.0
2015-12-20 14:30:00,39275858634.0
2015-12-20 15:00:00,38403826945.0
2015-12-20 15:30:00,37099178196.0
2015-12-20 16:00:00,36391183076.0
2015-12-20 16:30:00,35811679648.0
2015-12-20 17:00:00,35689547792.0
2015-12-20 17:30:00,36250836141.0
2015-12-20 18:00:00,38075022364.0
2015-12-20 18:30:00,39968548503.0
2015-12-20 19:00:00,41250507947.0
2015-12-20 19:30:00,42247696928.0
2015-12-20 20:00:00,42729972593.0
2015-12-20 20:30:00,42451701802.0
2015-12-20 21:00:00,41618771520.0
2015-12-20 21:30:00,40667031752.0
2015-12-20 22:00:00,39833921842.0
2015-12-20 22:30:00,38956916725.0
2015-12-20 23:00:00,39023527572.0
2015-12-20 23:30:00,41520958247.0
2015-12-21 00:00:00,41300058253.0
2015-12-21 00:30:00,41349922951.0
2015-12-21 01:00:00,40712847158.0
2015-12-21 01:30:00,38461571274.0
2015-12-21 02:00:00,37849784862.0
2015-12-21 02:30:00,37331065036.0
2015-12-21 03:00:00,36954683764.0
2015-12-21 03:30:00,35449914110.0
2015-12-21 04:00:00,34416636287.0
2015-12-21 04:30:00,33570791837.0
2015-12-21 05:00:00,33483720599.0
2015-12-21 05:30:00,33554196547.0
2015-12-21 06:00:00,34922710195.0
2015-12-21 06:30:00,35955559402.0
2015-12-21 07:00:00,38379727002.0
2015-12-21 07:30:00,40131992814.0
2015-12-21 08:00:00,42408931691.0
2015-12-21 08:30:00,44343017650.0
2015-12-21 09:00:00,45843690704.0
2015-12-21 09:30:00,46542532806.0
2015-12-21 10:00:00,47156641509.0
2015-12-21 10:30:00,47606244630.0
2015-12-21 11:00:00,47749116061.0
2015-12-21 11:30:00,47715371057.0
2015-12-21 12:00:00,47985234560.0
2015-12-21 12:30:00,48231139018.0
2015-12-21 13:00:00,48225912997.0
2015-12-21 13:30:00,48517436451.0
2015-12-21 14:00:00,47580829259.0
2015-12-21 14:30:00,46791617037.0
2015-12-21 15:00:00,46458314734.0
2015-12-21 15:30:00,45201957678.0
2015-12-21 16:00:00,44503667471.0
2015-12-21 16:30:00,43902701971.0
2015-12-21 17:00:00,43750637670.0
2015-12-21 17:30:00,44144907662.0
2015-12-21 18:00:00,45795169322.0
2015-12-21 18:30:00,47597559838.0
2015-12-21 19:00:00,48515244424.0
2015-12-21 19:30:00,49415395766.0
2015-12-21 20:00:00,49587751007.0
2015-12-21 20:30:00,48590056899.0
2015-12-21 21:00:00,47140256779.0
2015-12-21 21:30:00,45505966252.0
2015-12-21 22:00:00,44024677368.0
2015-12-21 22:30:00,42809496564.0
2015-12-21 23:00:00,42705224374.0
2015-12-21 23:30:00,45044121789.0
2015-12-22 00:00:00,44719259068.0
2015-12-22 00:30:00,44563777181.0
2015-12-22 01:00:00,43194494902.0
2015-12-22 01:30:00,40751232738.0
2015-12-22 02:00:00,40011521333.0
2015-12-22 02:30:00,39467491929.0
2015-12-22 03:00:00,39083939654.0
2015-12-22 03:30:00,37601438801.0
2015-12-22 04:00:00,36526331532.0
2015-12-22 04:30:00,35634356240.0
2015-12-22 05:00:00,35416344095.0
2015-12-22 05:30:00,35415430528.0
2015-12-22 06:00:00,36643272800.0
2015-12-22 06:30:00,37551911387.0
2015-12-22 07:00:00,39737956887.0
2015-12-22 07:30:00,41394062386.0
2015-12-22 08:00:00,43578979185.0
2015-12-22 08:30:00,45382558126.0
2015-12-22 09:00:00,46671820833.0
2015-12-22 09:30:00,47202801913.0
2015-12-22 10:00:00,47592146842.0
2015-12-22 10:30:00,47888058643.0
2015-12-22 11:00:00,47919278584.0
2015-12-22 11:30:00,47761325841.0
2015-12-22 12:00:00,47927741185.0
2015-12-22 12:30:00,48066397228.0
2015-12-22 13:00:00,47948818240.0
2015-12-22 13:30:00,48195914920.0
2015-12-22 14:00:00,47122451681.0
2015-12-22 14:30:00,46222454836.0
2015-12-22 15:00:00,45820145882.0
2015-12-22 15:30:00,44551816962.0
2015-12-22 16:00:00,43837420513.0
2015-12-22 16:30:00,43252255158.0
2015-12-22 17:00:00,43092674947.0
2015-12-22 17:30:00,43479967918.0
2015-12-22 18:00:00,45195041295.0
2015-12-22 18:30:00,47094464270.0
2015-12-22 19:00:00,48052804315.0
2015-12-22 19:30:00,48906514310.0
2015-12-22 20:00:00,49064586732.0
2015-12-22 20:30:00,48143256107.0
2015-12-22 21:00:00,46763979230.0
2015-12-22 21:30:00,45197511788.0
2015-12-22 22:00:00,43911726135.0
2015-12-22 22:30:00,42729679331.0
2015-12-22 23:00:00,42659475865.0
2015-12-22 23:30:00,44865753780.0
2015-12-23 00:00:00,44581423862.0
2015-12-23 00:30:00,44518834737.0
2015-12-23 01:00:00,43183146313.0
2015-12-23 01:30:00,40702734272.0
